Blagotin,,A,B,C,D,E,F,G,H,I,,
Ovis,Raw,6,3,19,4,1,2,2,0,0,,37
,Corrected,6,3,21.8,6.4,1.9,2.9,6,0,0,,48
,Multis,0,0,2.8,2.4,0.9,0.9,4,0,0,,11
,Raw%,16.2,8.1,51.4,10.8,2.7,5.4,5.4,0.0,0.0,,100
,Corrected%,12.5,6.3,45.4,13.3,4.0,6.0,12.5,0.0,0.0,,100
,,,,,,,,,,,,
O/C,Raw,4,1,10,7,1,1,1,3,0,,28
,Corrected,4,1.1,13.9,26,6.6,11.6,9,16.8,0,,89
,Multis,0,0.1,3.9,19,5.6,10.6,8,13.8,0,,61
,Raw%,14.3,3.6,35.7,25.0,3.6,3.6,3.6,10.7,0.0,,100
,Corrected%,4.5,1.2,15.6,29.2,7.4,13.0,10.1,18.9,0.0,,100
,,,,,,,,,,,,
Total,Raw,10,4,29,11,2,3,3,3,0,,65
,Corrected,10,4.1,35.7,32.4,8.5,14.5,15,16.8,0,,137
,Multis,0,0.1,6.7,21.4,6.5,11.5,12,13.8,0,,72
,Raw%,15.4,6.2,44.6,16.9,3.1,4.6,4.6,4.6,0.0,,100
,Corrected%,7.3,3.0,26.1,23.6,6.2,10.6,10.9,12.3,0.0,,100
,,,,,,,,,,,,
Foeni,,,,,,,,,,,,
Ovis,Raw,0,1,7,1,0,0,0,0,0,,9
,Corrected,0,1,7.9,1.3,0,0,0,0,0,,10.2
,Multis,0,0,0.9,0.3,0,0,0,0,0,,1.2
,Raw%,0.0,11.1,77.8,11.1,0.0,0.0,0.0,0.0,0.0,,100
,Corrected%,0.0,9.8,77.5,12.7,0.0,0.0,0.0,0.0,0.0,,100
,,,,,,,,,,,,
,,,,,,,,,,,,
O/C,Raw,1,2,12,3,0,2,3,0,0,,23
,Corrected,1.5,2.1,16.5,12.6,0,6,11.7,0,0,,50.4
,Multis,0.5,0.1,4.5,9.6,0,4,8.7,0,0,,27.4
,Raw%,4.3,8.7,52.2,13.0,0.0,8.7,13.0,0.0,0.0,,100
,Corrected%,3.0,4.2,32.7,25.0,0.0,11.9,23.2,0.0,0.0,,100
